GBD_Specimen_ID,BirdLife_name,Jetz_taxo,"Source (Museum, Field)",Specimen_Ring.Number,Collector,Sex,Juv,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Subspecies,Measurer,Publication
Sporophila falcirostris_2,Sporophila falcirostris,Sporophila falcirostris,MZUSP,81007,,F,,11.1,7.7,6.9,8.3,,LFS,
Sporophila falcirostris_3,Sporophila falcirostris,Sporophila falcirostris,MZUSP,81008,,F,,9.4,7.2,8.7,7.7,,LFS,
Sporophila falcirostris_4,Sporophila falcirostris,Sporophila falcirostris,MZUSP,81009,,F,,10.5,8,7.5,8.2,,LFS,
Sporophila plumbea_1,Sporophila plumbea,Sporophila plumbea,NHMUK,1885.12.14.522,,F,,10.5,6.7,5.2,6.7,whiteleyana,HM,
Sporophila plumbea_2,Sporophila plumbea,Sporophila plumbea,NHMUK,1885.12.14.524,,F,,11.7,8.1,5.9,7.4,whiteleyana,HM,
Sporophila plumbea_3,Sporophila plumbea,Sporophila plumbea,NHMUK,1885.12.14.526,,M,,10.8,6.7,6.9,6.9,whiteleyana,HM,
Sporophila plumbea_4,Sporophila plumbea,Sporophila plumbea,NHMUK,1892.1.16.208,,M,,10,6.5,5.2,7.1,whiteleyana,HM,
Sporophila plumbea_5,Sporophila plumbea,Sporophila plumbea,NHMUK,92.1.16.207,,M,,10.6,NA,5.3,7.3,whiteleyana,GT,
Sporophila beltoni_1,Sporophila beltoni,Sporophila plumbea,,,,,,NA,NA,NA,NA,,GAP SPECIES,
Sporophila albogularis_1,Sporophila albogularis,Sporophila albogularis,NHMUK,41.427,,U,,12.1,7.4,5.1,7.9,,HM,
Sporophila albogularis_10,Sporophila albogularis,Sporophila albogularis,UFPE,2206,,M,,9.9,NA,NA,7.7,,VL,
Sporophila albogularis_11,Sporophila albogularis,Sporophila albogularis,UFPE,2419,,M,,9.5,NA,NA,7.2,,VL,
Sporophila albogularis_12,Sporophila albogularis,Sporophila albogularis,UFPE,2426,,M,,8.1,NA,NA,7.7,,VL,
Sporophila albogularis_13,Sporophila albogularis,Sporophila albogularis,UFPE,3082,,M,,13.6,NA,NA,NA,,VL,
Sporophila albogularis_14,Sporophila albogularis,Sporophila albogularis,UFPE,3099,,F,,10.1,NA,NA,3.9,,VL,
Sporophila albogularis_15,Sporophila albogularis,Sporophila albogularis,UFPE,3143,,F,,9.3,NA,NA,6.1,,VL,
Sporophila albogularis_16,Sporophila albogularis,Sporophila albogularis,UFPE,3436,,U,,14.4,NA,NA,4.5,,VL,
Sporophila albogularis_17,Sporophila albogularis,Sporophila albogularis,UFPE,3438,,F,,8.9,NA,NA,7.3,,VL,
Sporophila albogularis_18,Sporophila albogularis,Sporophila albogularis,UFPE,3442,,M,,9.2,NA,NA,8,,VL,
Sporophila albogularis_19,Sporophila albogularis,Sporophila albogularis,UFPE,4550,,M,,9.5,NA,NA,7.5,,VL,
Sporophila albogularis_2,Sporophila albogularis,Sporophila albogularis,NHMUK,1885.12.14.412,,U,,11.1,6.5,4.6,7,,HM,
Sporophila albogularis_20,Sporophila albogularis,Sporophila albogularis,UFPE,4553,,M,,9.3,NA,NA,7.7,,VL,
Sporophila albogularis_21,Sporophila albogularis,Sporophila albogularis,UFPE,4554,,M,,9.8,NA,NA,7.7,,VL,
Sporophila albogularis_22,Sporophila albogularis,Sporophila albogularis,UFPE,4555,,F,,9.7,NA,NA,8.1,,VL,
Sporophila albogularis_23,Sporophila albogularis,Sporophila albogularis,UFPE,4556,,M,,9.9,NA,NA,8,,VL,
Sporophila albogularis_24,Sporophila albogularis,Sporophila albogularis,UFPE,4557,,M,,9.9,NA,NA,7.8,,VL,
Sporophila albogularis_25,Sporophila albogularis,Sporophila albogularis,UFPE,4558,,F,,8.7,NA,NA,7.2,,VL,
Sporophila albogularis_26,Sporophila albogularis,Sporophila albogularis,UFPE,4559,,F,,9.8,NA,NA,7.8,,VL,
Sporophila albogularis_27,Sporophila albogularis,Sporophila albogularis,UFPE,4733,,M,,8.8,NA,NA,8,,VL,
Sporophila albogularis_3,Sporophila albogularis,Sporophila albogularis,NHMUK,1885.2.10.130,,M,,13.2,7,5.1,7.7,,HM,
Sporophila albogularis_4,Sporophila albogularis,Sporophila albogularis,NHMUK,1885.2.10.131,,U,,12,7.4,5.2,8.1,,HM,
Sporophila albogularis_5,Sporophila albogularis,Sporophila albogularis,NHMUK,85.2.10.130,,M,,10.5,NA,5.7,7.3,,GT,
Sporophila albogularis_6,Sporophila albogularis,Sporophila albogularis,UFPE,1322,,M,,9.4,NA,NA,7.3,,VL,
Sporophila albogularis_7,Sporophila albogularis,Sporophila albogularis,UFPE,1666,,M,,7.8,NA,NA,7.4,,VL,
Sporophila albogularis_8,Sporophila albogularis,Sporophila albogularis,UFPE,2152,,U,,9.3,NA,NA,7.6,,VL,
Sporophila albogularis_9,Sporophila albogularis,Sporophila albogularis,UFPE,2192,,M,,10.5,NA,NA,7.6,,VL,
Sporophila collaris_1,Sporophila collaris,Sporophila collaris,NHMUK,1885.2.10.133,,F,,12.5,8.2,6.4,8.5,collaris,HM,
Sporophila collaris_2,Sporophila collaris,Sporophila collaris,NHMUK,1895.4.1.278,,M,,11.8,8.1,6.3,8.6,collaris probably,HM,
Sporophila collaris_3,Sporophila collaris,Sporophila collaris,NHMUK,1895.4.1.279,,M,,13,8.6,6.3,8.5,collaris probably,HM,
Sporophila collaris_4,Sporophila collaris,Sporophila collaris,NHMUK,1895.4.1.283,,F,,12.1,7.9,6.3,8.4,collaris probably,HM,
Sporophila collaris_5,Sporophila collaris,Sporophila collaris,NHMUK,1905.10.12.873,,M,,10.7,NA,5.2,7.5,melanocephala,GT,
Sporophila torqueola_1,Sporophila torqueola,Sporophila torqueola,NHMUK,1885.2.10.122,,M,,9.7,5.9,5.2,6.8,torquata,HM,
Sporophila torqueola_2,Sporophila torqueola,Sporophila torqueola,NHMUK,1899.2.1.1127,,F,,9.8,6.6,5,6.1,torquata,HM,
Sporophila torqueola_3,Sporophila torqueola,Sporophila torqueola,NHMUK,1899.2.1.1135,,M,,9.3,6,4.9,6.6,torquata,HM,
Sporophila torqueola_4,Sporophila torqueola,Sporophila torqueola,NHMUK,1899.2.1.1141,,F,,9.9,6.3,4.8,6.5,torquata,HM,
Sporophila torqueola_5,Sporophila torqueola,Sporophila torqueola,NHMUK,99.2.1.1134,,M,,9,NA,4.2,6.6,torqueola,GT,
NA_9,NA,Sporophila torqueola,NA,NA,,U,-,10.1,NA,NA,NA,,RR,Ricklefs 2017
Sporophila morelleti_1,Sporophila morelleti,Sporophila torqueola,Field sample,17777,CATIE mist-netting stations,M,,NA,6.9,4.9,6.7,,AMR,
Sporophila morelleti_10,Sporophila morelleti,Sporophila torqueola,Field sample,A07379,CATIE mist-netting stations,M,,NA,7.2,5.2,6.7,,AMR,
Sporophila morelleti_11,Sporophila morelleti,Sporophila torqueola,Field sample,A17092,CATIE mist-netting stations,F,,NA,6.7,5,6.7,,AMR,
Sporophila morelleti_12,Sporophila morelleti,Sporophila torqueola,Field sample,A17093,CATIE mist-netting stations,M,,NA,6.4,4.8,6.6,,AMR,
Sporophila morelleti_13,Sporophila morelleti,Sporophila torqueola,Field sample,A17095,CATIE mist-netting stations,M,,NA,6.7,5.3,6.2,,AMR,
Sporophila morelleti_14,Sporophila morelleti,Sporophila torqueola,Field sample,A17102,CATIE mist-netting stations,M,,NA,6.8,5.2,6.4,,AMR,
Sporophila morelleti_15,Sporophila morelleti,Sporophila torqueola,Field sample,A17103,CATIE mist-netting stations,U,,NA,7.2,5.3,7,,AMR,
Sporophila morelleti_16,Sporophila morelleti,Sporophila torqueola,Field sample,A17127,CATIE mist-netting stations,F,,NA,7,4.8,6.9,,AMR,
Sporophila morelleti_17,Sporophila morelleti,Sporophila torqueola,Field sample,A17370,CATIE mist-netting stations,F,,NA,6.5,4.8,6.7,,AMR,
Sporophila morelleti_18,Sporophila morelleti,Sporophila torqueola,Field sample,A17859,CATIE mist-netting stations,M,,NA,6.9,4.6,7,,AMR,
Sporophila morelleti_19,Sporophila morelleti,Sporophila torqueola,Field sample,R/R-L/R,CATIE mist-netting stations,F,,NA,7,5.2,6.7,,AMS,
Sporophila morelleti_2,Sporophila morelleti,Sporophila torqueola,Field sample,0000-0000,CATIE mist-netting stations,U,,NA,6.5,6,7,,AMS,
Sporophila morelleti_20,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,F,-,NA,6.3,5.3,7.1,,AC,
Sporophila morelleti_21,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,F,-,NA,6.6,5.2,7.6,,AC,
Sporophila morelleti_22,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,F,-,NA,6.4,5.7,6.9,,AC,
Sporophila morelleti_23,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,F,-,NA,6,4.7,6.8,,AC,
Sporophila morelleti_24,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,F,-,NA,6.4,4.7,7.1,,AC,
Sporophila morelleti_25,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,M,-,NA,6.3,5.1,7.4,,AC,
Sporophila morelleti_26,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,M,-,NA,6.4,5,7.4,,AC,
Sporophila morelleti_27,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,M,-,NA,6.5,5.4,7.4,,AC,
Sporophila morelleti_28,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,M,-,NA,6.2,5.2,7.4,,AC,
Sporophila morelleti_29,Sporophila morelleti,Sporophila torqueola,MNCR,NA,,M,-,NA,5.9,5.7,7.5,,AC,
Sporophila morelleti_3,Sporophila morelleti,Sporophila torqueola,Field sample,A06011,CATIE mist-netting stations,F,,NA,6,5,7,,AMS,
Sporophila morelleti_4,Sporophila morelleti,Sporophila torqueola,Field sample,A06077,CATIE mist-netting stations,M,,NA,6.3,5.1,6.5,,AMS,
Sporophila morelleti_5,Sporophila morelleti,Sporophila torqueola,Field sample,A06086,CATIE mist-netting stations,M,,NA,6.5,4.5,7,,AMR,
Sporophila morelleti_6,Sporophila morelleti,Sporophila torqueola,Field sample,A06153,CATIE mist-netting stations,F,,NA,6.9,7,5,,AMR,
Sporophila morelleti_7,Sporophila morelleti,Sporophila torqueola,Field sample,A06697,CATIE mist-netting stations,F,,NA,6.5,5,7,,AMS,
Sporophila morelleti_8,Sporophila morelleti,Sporophila torqueola,Field sample,A06698,CATIE mist-netting stations,F,,NA,7,5.5,6.5,,AMS,
Sporophila morelleti_9,Sporophila morelleti,Sporophila torqueola,Field sample,A07162,CATIE mist-netting stations,M,,NA,6.5,4.5,6,,AMR,
Sporophila funerea_1,Sporophila funerea,Oryzoborus funereus,Field sample,161,CATIE mist-netting stations,M,,NA,9.5,7,9.5,,AMR,
Sporophila funerea_10,Sporophila funerea,Oryzoborus funereus,Field sample,B103388,CATIE mist-netting stations,F,,NA,9.8,6.1,10,,AMR,
Sporophila funerea_11,Sporophila funerea,Oryzoborus funereus,Field sample,B103468,CATIE mist-netting stations,F,,NA,9,6.9,10.1,,AMR,
Sporophila funerea_12,Sporophila funerea,Oryzoborus funereus,Field sample,R/Y-L/Y,CATIE mist-netting stations,M,,NA,9,6.5,10,,AMS,
Sporophila funerea_13,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,M,,NA,8.9,6.9,10.6,,AC,
Sporophila funerea_14,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,F,,NA,9.2,7.5,10.8,,AC,
Sporophila funerea_15,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,M,,NA,8.9,7.2,10.1,,AC,
Sporophila funerea_16,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,F,,NA,8,6.6,11.3,,AC,
Sporophila funerea_17,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,F,,NA,8.9,7.2,11.3,,AC,
Sporophila funerea_18,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,F,,NA,8.8,6.5,10.1,,AC,
Sporophila funerea_19,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,F,,NA,9,6.4,9.8,,AC,
Sporophila funerea_2,Sporophila funerea,Oryzoborus funereus,Field sample,167,CATIE mist-netting stations,U,,NA,10,7,10,,AMS,
Sporophila funerea_20,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,M,,NA,8.3,6.4,10,,AC,
Sporophila funerea_21,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,M,,NA,9.9,7,10.7,,AC,
Sporophila funerea_22,Sporophila funerea,Oryzoborus funereus,MNCR,NA,,M,,NA,8,7.2,10.6,,AC,
Sporophila funerea_23,Sporophila funerea,Oryzoborus funereus,NHMUK,1885.12.14.374,,F,,15.5,10.4,7.2,10.7,,HM,
Sporophila funerea_24,Sporophila funerea,Oryzoborus funereus,NHMUK,1899.2.1.348,,M,,15,10.5,6.5,10.6,,HM,
Sporophila funerea_25,Sporophila funerea,Oryzoborus funereus,NHMUK,1899.2.1.976,,F,,14.7,10.2,6.6,10.3,,HM,
Sporophila funerea_26,Sporophila funerea,Oryzoborus funereus,NHMUK,1899.2.1.981,,M,,14.7,9.6,7,11,,HM,
Sporophila funerea_27,Sporophila funerea,Oryzoborus funereus,NHMUK,99.2.1.351,,M,,13.6,NA,8.8,10.6,funereus,GT,
Sporophila funerea_28,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,M,,10.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_29,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,M,,11.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_3,Sporophila funerea,Oryzoborus funereus,Field sample,178,CATIE mist-netting stations,M,,NA,9.1,6.4,9.7,,AMR,
Sporophila funerea_30,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,F,,10.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_31,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,U,Adult,10.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_32,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,M,Adult,12,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_33,Sporophila funerea,Oryzoborus funereus,Field sample,NA,,U,Inmature,9.9,NA,NA,7.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila funerea_4,Sporophila funerea,Oryzoborus funereus,Field sample,A06040,CATIE mist-netting stations,M,,NA,9.5,6.7,9.4,,AMS,
Sporophila funerea_5,Sporophila funerea,Oryzoborus funereus,Field sample,A06779,CATIE mist-netting stations,F,,NA,10,7,10,,AMS,
Sporophila funerea_6,Sporophila funerea,Oryzoborus funereus,Field sample,B103217,CATIE mist-netting stations,F,,NA,9.6,7,10.3,,AMR,
Sporophila funerea_7,Sporophila funerea,Oryzoborus funereus,Field sample,B103235,CATIE mist-netting stations,F,,NA,9.5,6.5,9.2,,AMR,
Sporophila funerea_8,Sporophila funerea,Oryzoborus funereus,Field sample,B103282,CATIE mist-netting stations,F,,NA,9.8,7,10.9,,AMR,
Sporophila funerea_9,Sporophila funerea,Oryzoborus funereus,Field sample,B103369,CATIE mist-netting stations,F,,NA,9.1,7,10,,AMR,
Sporophila angolensis_1,Sporophila angolensis,Oryzoborus angolensis,FMNH,281464,,F,,NA,NA,NA,9.4,torridus,FAMC,
Sporophila angolensis_10,Sporophila angolensis,Oryzoborus angolensis,NHMUK,85.12.14.354,,M,,NA,NA,NA,NA,,SEIJ,
Sporophila angolensis_11,Sporophila angolensis,Oryzoborus angolensis,NHMUK,85.12.14.366,,M,,14.1,NA,7.2,9.9,torridus,GT,
Sporophila angolensis_12,Sporophila angolensis,Oryzoborus angolensis,NHMUK,88.9.12.59,,F,,NA,NA,NA,NA,,SEIJ,
Sporophila angolensis_13,Sporophila angolensis,Oryzoborus angolensis,NHMUK,89.1.10.259,,M,,NA,NA,NA,NA,,SEIJ,
Sporophila angolensis_14,Sporophila angolensis,Oryzoborus angolensis,ZFMK,1954-959,NA,M,,11.1,NA,NA,NA,,LN,
Sporophila angolensis_15,Sporophila angolensis,Oryzoborus angolensis,ZFMK,1956-668,NA,F,,12.7,NA,NA,NA,,LN,
Sporophila angolensis_16,Sporophila angolensis,Oryzoborus angolensis,NHMD,55,NA,M,,11.6,NA,NA,NA,angolensis,LN,
Sporophila angolensis_17,Sporophila angolensis,Oryzoborus angolensis,NHMD,9704,NA,F,,13.6,NA,NA,NA,angolensis,LN,
Sporophila angolensis_18,Sporophila angolensis,Oryzoborus angolensis,NHMD,9705,NA,M,,13,NA,NA,NA,angolensis,LN,
Sporophila angolensis_19,Sporophila angolensis,Oryzoborus angolensis,NHMD,9706,NA,F,,13.5,NA,NA,NA,angolensis,LN,
Sporophila angolensis_2,Sporophila angolensis,Oryzoborus angolensis,FMNH,316204,,F,,NA,NA,NA,11.2,torridus,FAMC,
Sporophila angolensis_20,Sporophila angolensis,Oryzoborus angolensis,Field sample,A00772,,M,,NA,9.1,6.8,9.3,,CT,
Sporophila angolensis_21,Sporophila angolensis,Oryzoborus angolensis,Field sample,A05637,,U,Juv,NA,8.3,5.6,8.9,,CT,
Sporophila angolensis_22,Sporophila angolensis,Oryzoborus angolensis,Field sample,B001065,,M,,NA,9.3,6.4,9.4,,CT,
Sporophila angolensis_23,Sporophila angolensis,Oryzoborus angolensis,Field sample,B001066,,M,Juv,NA,9.5,6.5,9.7,,CT,
Sporophila angolensis_24,Sporophila angolensis,Oryzoborus angolensis,Field sample,B005087,,F,,NA,10,6.9,9.4,,CT,
Sporophila angolensis_25,Sporophila angolensis,Oryzoborus angolensis,Field sample,B005096,,U,,NA,9.8,7.3,9.8,,CT,
Sporophila angolensis_26,Sporophila angolensis,Oryzoborus angolensis,UFPE,32,,F,,11.2,NA,NA,9.4,,VL,
Sporophila angolensis_27,Sporophila angolensis,Oryzoborus angolensis,UFPE,72,,F,,12.8,NA,NA,11.7,,VL,
Sporophila angolensis_28,Sporophila angolensis,Oryzoborus angolensis,UFPE,1678,,M,,12.6,NA,NA,10.4,,VL,
Sporophila angolensis_29,Sporophila angolensis,Oryzoborus angolensis,UFPE,2686,,M,,12.8,NA,NA,11.3,,VL,
Sporophila angolensis_3,Sporophila angolensis,Oryzoborus angolensis,FMNH,316207,,M,,NA,NA,NA,10.2,torridus,FAMC,
Sporophila angolensis_30,Sporophila angolensis,Oryzoborus angolensis,UFPE,2747,,M,,11.4,NA,NA,10.3,,VL,
Sporophila angolensis_31,Sporophila angolensis,Oryzoborus angolensis,UFPE,2752,,M,,13.3,NA,NA,10.7,,VL,
Sporophila angolensis_32,Sporophila angolensis,Oryzoborus angolensis,UFPE,2754,,M,,13.1,NA,NA,11,,VL,
Sporophila angolensis_33,Sporophila angolensis,Oryzoborus angolensis,UFPE,2755,,M,,12.5,NA,NA,10.7,,VL,
Sporophila angolensis_34,Sporophila angolensis,Oryzoborus angolensis,UFPE,2806,,F,,10.6,NA,NA,10.1,,VL,
Sporophila angolensis_35,Sporophila angolensis,Oryzoborus angolensis,UFPE,2989,,F,,11.7,NA,NA,10.1,,VL,
Sporophila angolensis_4,Sporophila angolensis,Oryzoborus angolensis,FMNH,433799,,M,,NA,NA,NA,10.1,torridus,FAMC,
Sporophila angolensis_5,Sporophila angolensis,Oryzoborus angolensis,MPEG,18686,,F,,15.2,9.3,6.6,8.4,,BDK,
Sporophila angolensis_6,Sporophila angolensis,Oryzoborus angolensis,MPEG,24368,,M,,15.2,10.1,6.7,10.8,,BDK,
Sporophila angolensis_7,Sporophila angolensis,Oryzoborus angolensis,MPEG,25441,,F,,14.6,9.2,6.8,9.1,,BDK,
Sporophila angolensis_8,Sporophila angolensis,Oryzoborus angolensis,MPEG,61510,,M,,15.2,9.9,8,9.1,,BDK,
Sporophila angolensis_9,Sporophila angolensis,Oryzoborus angolensis,NHMUK,1925.9.2.20,,M,,NA,NA,NA,NA,,SEIJ,
Sporophila fringilloides_1,Sporophila fringilloides,Dolospingus fringilloides,INPA,1601,,F,,14.4,10,5.2,7.7,,HSL,
Sporophila fringilloides_2,Sporophila fringilloides,Dolospingus fringilloides,INPA,2082,,M,,15.7,10.3,6.3,8.1,,HSL,
Sporophila fringilloides_3,Sporophila fringilloides,Dolospingus fringilloides,INPA,2219,,F,,14.6,9.8,6,7.6,,HSL,
Sporophila fringilloides_4,Sporophila fringilloides,Dolospingus fringilloides,MPEG,54104,,M,,14.2,10.1,5.8,7.3,,BDK,
Sporophila fringilloides_5,Sporophila fringilloides,Dolospingus fringilloides,MZUSP,92416,,M,Amazonas,12.8,10,6.4,7.8,,LFS,
Sporophila fringilloides_6,Sporophila fringilloides,Dolospingus fringilloides,MZUSP,92416,,M,Mato Grosso,NA,NA,4.7,6.8,,LFS,
Sporophila frontalis_1,Sporophila frontalis,Sporophila frontalis,NHMUK,1885.2.10.217,,M,,14.7,8.8,5.4,8.1,,HM,
Sporophila frontalis_2,Sporophila frontalis,Sporophila frontalis,NHMUK,1885.2.10.218,,F,,16,9.1,6.4,8,,HM,
Sporophila frontalis_3,Sporophila frontalis,Sporophila frontalis,NHMUK,1886.12.14.531,,F,,13.8,8,5.6,7.7,,HM,
Sporophila frontalis_4,Sporophila frontalis,Sporophila frontalis,NHMUK,1886.12.14.532,,M,,13.8,8.6,5.9,7.5,,HM,
Sporophila frontalis_5,Sporophila frontalis,Sporophila frontalis,NHMUK,86.12.14.530,,M,,12.1,NA,6.1,NA,,GT,
Sporophila luctuosa_1,Sporophila luctuosa,Sporophila luctuosa,FMNH,182817,,M,,NA,NA,NA,NA,,FAMC,
Sporophila luctuosa_10,Sporophila luctuosa,Sporophila luctuosa,NHMUK,1898.2.8.207,,F,,9.5,5.8,5.3,6.3,,AMGZ,
Sporophila luctuosa_11,Sporophila luctuosa,Sporophila luctuosa,NHMUK,1902.3.13.392,,M,,10.7,6.4,4.9,6.7,,AMGZ,
Sporophila luctuosa_12,Sporophila luctuosa,Sporophila luctuosa,NHMUK,1925.12.24.588,,M,,9.4,NA,4.8,6.7,,GT,
Sporophila luctuosa_13,Sporophila luctuosa,Sporophila luctuosa,Field sample,NA,,F,Adult,9.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_14,Sporophila luctuosa,Sporophila luctuosa,Field sample,NA,,M,Inmature,8.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_15,Sporophila luctuosa,Sporophila luctuosa,Field sample,NA,,F,Adult,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_16,Sporophila luctuosa,Sporophila luctuosa,Field sample,NA,,M,Inmature,9.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_17,Sporophila luctuosa,Sporophila luctuosa,Field sample,NA,,M,Adult,8.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_2,Sporophila luctuosa,Sporophila luctuosa,FMNH,182818,,M,,NA,NA,NA,7.4,,FAMC,
Sporophila luctuosa_3,Sporophila luctuosa,Sporophila luctuosa,FMNH,316196,,M,,NA,NA,NA,7.1,,FAMC,
Sporophila luctuosa_4,Sporophila luctuosa,Sporophila luctuosa,FMNH,364463,,M,,NA,NA,NA,6.8,,FAMC,
Sporophila luctuosa_5,Sporophila luctuosa,Sporophila luctuosa,FMNH,398381,,M,,NA,NA,NA,7.4,,FAMC,
Sporophila luctuosa_6,Sporophila luctuosa,Sporophila luctuosa,FMNH,433818,,F,,NA,NA,NA,7,,FAMC,
Sporophila luctuosa_7,Sporophila luctuosa,Sporophila luctuosa,MHN-UCa,NA,,F,Adult,10.1,NA,6.8,7.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila luctuosa_8,Sporophila luctuosa,Sporophila luctuosa,NHMUK,1869.5.25.134,,F,,9.6,6.1,5.6,6.6,,AMGZ,
Sporophila luctuosa_9,Sporophila luctuosa,Sporophila luctuosa,NHMUK,1896.10.6.282,,M,,10.3,6.1,5.5,6.1,,AMGZ,
Sporophila caerulescens_1,Sporophila caerulescens,Sporophila caerulescens,FMNH,53000,,M,,NA,NA,NA,6.7,yungae,FAMC,
Sporophila caerulescens_2,Sporophila caerulescens,Sporophila caerulescens,FMNH,182819,,M,,NA,NA,NA,6.5,yungae,FAMC,
Sporophila caerulescens_3,Sporophila caerulescens,Sporophila caerulescens,FMNH,182820,,M,,NA,NA,NA,6.3,yungae,FAMC,
Sporophila caerulescens_4,Sporophila caerulescens,Sporophila caerulescens,NHMUK,1885.2.10.154,,M,,10,6.4,5,6.4,,HM,
Sporophila caerulescens_5,Sporophila caerulescens,Sporophila caerulescens,NHMUK,1885.2.10.155,,M,,10,6.6,5.1,5.7,,HM,
Sporophila caerulescens_6,Sporophila caerulescens,Sporophila caerulescens,NHMUK,1885.2.10.156,,F,,10,6.8,4.9,6.7,,HM,
Sporophila caerulescens_7,Sporophila caerulescens,Sporophila caerulescens,NHMUK,1895.4.1.273,,F,,10.5,7.3,4.7,6.5,,HM,
Sporophila caerulescens_8,Sporophila caerulescens,Sporophila caerulescens,NHMUK,1901.3.28.32,,M,,10.8,NA,5.8,6.3,caerulescens,GT,
Sporophila nigricollis_1,Sporophila nigricollis,Sporophila nigricollis,MNCR,NA,,M,,NA,6,5.5,6.1,,AC,
Sporophila nigricollis_10,Sporophila nigricollis,Sporophila nigricollis,MPEG,49800,,M,,9.7,6.2,4.6,5.1,,BDK,
Sporophila nigricollis_100,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,11.8,NA,4.8,7,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_101,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,9.4,NA,4.5,6.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_102,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,9,NA,5.5,5.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_103,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,9.2,NA,5.3,6.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_104,Sporophila nigricollis,Sporophila nigricollis,UFPE,39,,M,,7.7,NA,NA,6.2,,VL,
Sporophila nigricollis_105,Sporophila nigricollis,Sporophila nigricollis,UFPE,207,,M,,9.2,NA,NA,6.5,,VL,
Sporophila nigricollis_106,Sporophila nigricollis,Sporophila nigricollis,UFPE,254,,M,,7.3,NA,NA,6.2,,VL,
Sporophila nigricollis_107,Sporophila nigricollis,Sporophila nigricollis,UFPE,335,,M,,8.6,NA,NA,6.5,,VL,
Sporophila nigricollis_108,Sporophila nigricollis,Sporophila nigricollis,UFPE,1909,,M,,7.8,NA,NA,6.4,,VL,
Sporophila nigricollis_109,Sporophila nigricollis,Sporophila nigricollis,UFPE,1922,,F,,8.9,NA,NA,6.2,,VL,
Sporophila nigricollis_11,Sporophila nigricollis,Sporophila nigricollis,NHMUK,85.2.10.177,,M,,10.6,NA,5.5,6.3,nigricollis,GT,
Sporophila nigricollis_110,Sporophila nigricollis,Sporophila nigricollis,UFPE,2588,,F,,7.7,NA,NA,6.6,,VL,
Sporophila nigricollis_111,Sporophila nigricollis,Sporophila nigricollis,UFPE,4303,,F,,9.1,NA,NA,6.5,,VL,
Sporophila nigricollis_112,Sporophila nigricollis,Sporophila nigricollis,UFPE,4561,,M,,7.4,NA,NA,6.5,,VL,
Sporophila nigricollis_113,Sporophila nigricollis,Sporophila nigricollis,UFPE,4670,,M,,7.8,NA,NA,6.5,,VL,
